time,open,high,low,close,rsi
1702296300000,1.35876,1.35882,1.3582,1.3585,36.36363636363821
1702296600000,1.35849,1.35851,1.358,1.35837,34.98542274052694
1702296900000,1.3583,1.35839,1.3579,1.35827,27.63975155279681
1702297200000,1.35824,1.35856,1.358,1.35856,39.33333333333338
1702297500000,1.35855,1.35876,1.3582,1.35846,23.809523809522545
1702297800000,1.35845,1.35845,1.358,1.35834,22.988505747125856
1702298100000,1.35834,1.35845,1.3578,1.358,21.126760563379946
1702298400000,1.358,1.35802,1.3576,1.35787,20.76124567473778
1702298700000,1.35782,1.35799,1.3573,1.35761,19.867549668873295
1702299000000,1.35759,1.35769,1.3572,1.3573,18.867924528300037
1702299300000,1.35752,1.35752,1.3568,1.35725,9.931506849312328
1702299600000,1.35725,1.35799,1.357,1.35793,29.66360856269162
1702299900000,1.35798,1.35808,1.3576,1.35801,32.307692307690004
1702300200000,1.3578,1.35816,1.3574,1.35764,32.81249999999653
1702300500000,1.35765,1.35768,1.357,1.35716,30.52325581394986
1702300800000,1.3572,1.35765,1.3567,1.35702,30.43478260869145
1702301100000,1.3569,1.35712,1.3566,1.35683,29.66101694914903
1702301400000,1.35686,1.35739,1.3566,1.35735,33.952254641909974
1702301700000,1.35734,1.35745,1.3567,1.35715,33.074935400517006
